Job Title,Company Name,Company Headquarters,Date Posted,Apply Deadline,Job Type,Job Category,Region,Salary,Tags,Company Description,Job Description,Job URL,Application URL,Company Profile URL,Company Logo URL,Company Total Jobs Posted
Online English Teacher,Native Camp,Japan,Posted 22 days ago,"Nov 5th, 2025",Contract,All Other Remote,Anywhere in the World,N/A,"Featured, Pro, Contract, Anywhere in the World","Native Camp is Japan’s No.1 Online English Service counting the highest number of both teachers and students who are learning the English language through our platform. Since 2017, we have started hiring teachers from all around the world, and we have created an environment that makes it easy for them to work and earn while having full flexibility.


We are continuously expanding, introducing new features and teaching materials, and as a result of these efforts, more than 1.3 million members are using our service. Lessons are provided via a unique language platform developed by our company. We have simplified our application process and made it as quick as possible, so joining our team of teachers has never been easier. Join us today to experience the benefits that we provide.","About us: 


Native Camp is Japan’s No.1 Online English Service counting the highest number of both teachers and students who are learning the English language through our platform. Since 2017, we have started hiring teachers from all around the world, and we have created an environment that makes it easy for them to work and earn while having full flexibility.


We are continuously expanding, introducing new features and teaching materials, and as a result of these efforts, more than 1.3 million members are using our service. Lessons are provided via a unique language platform developed by our company. We have simplified our application process and made it as quick as possible, so joining our team of teachers has never been easier. Join us today to experience the benefits that we provide.


ONLINE ENGLISH TEACHER
(Home-Based job position)


What we offer:


・Complete flexibility (24/7)
・100% remote
・Easy-to-follow teaching materials provided
・No minimum hours per week required
・Frequent incentives offered
・No CV or experience required
・Online support available
 
Requirements:


・English Proficiency
・Laptop or PC with a webcam
・Headset with a microphone
・Stable Internet connection and speed
・Quiet environment and plain background
 
Application Process:


・Apply through our website
・Do the English Proficiency Test
・Do the System Check and the Demo Lesson
・Complete your profile
・Start Teaching


The whole application process is done online, via desktop. Just follow step by step and the system will guide you through it.


If you have any questions please contact us via our website (Contact Us page).",https://weworkremotely.com/remote-jobs/native-camp-online-english-teacher-30,See Job Description,https://weworkremotely.com/company/native-camp,https://we-work-remotely.imgix.net/logos/0077/5564/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,31
AI Trainer Generalist ($30-$150/hr),Helix Recruit,USA,Posted 23 days ago,"Nov 4th, 2025",Contract,All Other Remote,Anywhere in the World,$30,"Featured, Contract, Anywhere in the World","Help connect top talent with top-tier AI training roles. We have both full-time/freelance roles ranging from consulting, finance, PhDs, lawyers, medical doctors, software engineers, designers, translators, accountants, teachers and many more","Our partner is seeking versatile and detail-oriented professionals to collaborate with our team on a range of cutting-edge AI evaluation projects. As a Generalist, you’ll participate in the development and assessment of AI systems across diverse domains — helping test, refine, and improve how advanced models understand and reason about real-world workflows.

1. Key Responsibilities

Evaluate AI-generated outputs for accuracy, clarity, and alignment with real-world reasoning

Contribute written assessments and structured feedback on model performance

Identify conceptual, logical, and stylistic strengths and weaknesses in AI responses

Collaborate asynchronously with our partner's research and operations teams to maintain quality and consistency across evaluations

Ensure strong analytical judgment, precise communication, and consistent application of evaluation criteria

2. Ideal Qualifications

Strong English fluency and written communication skills

Sharp attention to detail and ability to identify subtle errors or inconsistencies

Analytical and critical thinking skills across a wide range of topics

No formal educational background or specific degree required — curiosity, clarity, and reasoning skill are key

3. Timeline

This listing does not qualify you for any particular project. This is an opportunity to join an important part of our talent pool

Start Date: Rolling (immediate opportunities available)

Duration: Varies by project (1–3 months typical)

Commitment: Flexible and part-time (~10–20 hours/week, with potential to increase)

Schedule: Fully remote and asynchronous

4. Compensation & Contract

Paid opportunities across multiple projects, typically $30–$100 USD/hour, depending on domain expertise and task complexity

Independent contractor arrangement

Daily payments via Stripe Connect

5. Application & Qualification Process

Submit Application: Upload your resume or professional summary

Qualifying Assessment: Complete a short, unpaid work trial introducing a core data type and task format used in projects

Ongoing Opportunities: Candidates who perform well will be considered for future paid work across AI evaluation, training, and research collaborations",https://weworkremotely.com/remote-jobs/helix-recruit-ai-trainer-generalist-30-150-hr,See Job Description,https://weworkremotely.com/company/helix-recruit,https://we-work-remotely.imgix.net/logos/0171/1640/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,3
Strategic Advisor,NewtonX,"New York, NY",Posted 25 days ago,"Nov 2th, 2025",Contract,All Other Remote,Anywhere in the World,$50-$80,"Featured, Contract, Anywhere in the World",NewtonX is the research and insights platform that empowers businesses to solve their toughest challenges with confidence. We don’t just provide answers backed by the highest-quality data—we combine unmatched B2B expertise and proven methodologies to maximize the impact of our customers' research.  Visit newtonx.com to learn more.,"Transform Your Knowledge into Income with NewtonX!

Are you interested in earning income by sharing your professional insights? NewtonX, a distinguished B2B expert network, invites accomplished professionals from all industries to join our esteemed community and contribute to shaping global business trends.

Rewarding Compensation: Receive $50-$80 for 10-20 minute surveys; $200-$500 for 45-60 minute consultations.
Curated Opportunities: We align engagements with your specific expertise.
Flexible Engagement: Participate at your convenience with no ongoing obligations.
Private: All research studies are completely confidential.

Apply now to be contacted with tailored, compensated opportunities and begin earning today!",https://weworkremotely.com/remote-jobs/newtonx-strategic-advisor-1,See Job Description,https://weworkremotely.com/company/newtonx,https://we-work-remotely.imgix.net/logos/0171/0288/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,2
Remote Sales Representative,UsedConex.com,"Tampa, FL",Posted 26 days ago,"Nov 1th, 2025",Contract,All Other Remote,Anywhere in the World,N/A,"Featured, Pro, Contract, $50,000 - $74,999 USD, Anywhere in the World","At UsedConex.com, we are committed to nurturing environmental sustainability by transforming retired shipping containers that are no longer used for cargo shipments into valuable storage solutions. With over 50 dedicated full-time employees and over 300 remote sales agents spread across the United States, we are making a positive impact on our planet together.","We're looking for remote sales agents who can: 
Advertise and sell shipping containers using our software. 
Responding to customers via chat, following up with them, and encouraging them to place an order.
You can close the sale directly on the chat and by sending invoices from the company's system. 
Each lead that you add to your account will be assigned to a sales manager to call and follow up with the customers via phone calls. 
Daily training will be provided. You'll be added to a Q&A group and will have mentors to help you achieve your goals!",https://weworkremotely.com/remote-jobs/usedconex-com-remote-sales-representative-1,See Job Description,https://weworkremotely.com/company/usedconex-com,https://we-work-remotely.imgix.net/logos/0099/4881/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,9
Hindi English Translator (Exclusive Role for Native Hindi Speakers Only),Hindi Translators Work (HTW),"Atlanta, GA.",Posted 28 days ago,"Oct 30th, 2025",Contract,All Other Remote,N/A,$16,"Featured, Contract, 🇮🇳 India",,"We are seeking native Hindi language specialists to play a crucial role in the development of cutting-edge artificial intelligence. This remote, freelance position is an exceptional opportunity for you to apply your deep understanding of the Hindi language to the rapidly evolving field of AI. You will be at the forefront of training sophisticated language models, ensuring the AI's output in Hindi is not only grammatically correct but also factually accurate and relevant

What You Will Do

Critically assess AI-generated Hindi text against established quality rubrics, focusing on factual accuracy, clarity, conciseness, and linguistic precision.

Provide constructive feedback and quality assurance on content produced by other human writers.

Author high-quality, original Hindi content based on a diverse range of prompts, setting a benchmark for the AI to learn from.

Who We Are Looking For

You are currently enrolled in or have successfully completed a Bachelor’s degree or higher from an accredited university.

You have an exceptional command of the Hindi language (native-level proficiency) and professional working proficiency in English.

You possess superior writing, grammar, and editing skills in Hindi.

You have demonstrated professional experience in roles that require significant writing or editing (e.g., journalism, content creation, technical writing, translation, or academia).

You have a genuine interest in the intersection of language and technology, particularly in the field of artificial intelligence.

Position Details

Role Type: This is a freelance, independent contractor position.

Compensation: This role is compensated at a competitive hourly rate based on project work ($16 to $25 depending on complexity of the project's complexity). Please note, this is not a full-time employment role or an internship.

Work Authorization: Applicants must have the legal authorization to work as an independent contractor in their country of residence. We are unable to provide visa sponsorship for this role.",https://weworkremotely.com/remote-jobs/hindi-translators-work-htw-hindi-english-translator-exclusive-role-for-native-hindi-speakers-only,See Job Description,https://weworkremotely.com/company/hindi-translators-work-htw,https://we-work-remotely.imgix.net/logos/0171/1573/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,2
Senior TypeScript SDK Engineer,Nutrient,"Raleigh, NC, USA",Posted 3 hours ago,"Nov 27th, 2025",Full-Time,Full-Stack Programming,N/A,N/A,"Featured, Full-Time, 🇧🇬 Bulgaria, 🇨🇿 Czechia, 🇪🇪 Estonia, 🇭🇺 Hungary, 🇱🇹 Lithuania, 🇱🇻 Latvia, 🇵🇱 Poland, 🇷🇴 Romania, 🇷🇸 Serbia, 🇸🇮 Slovenia, 🇸🇰 Slovakia, 🇺🇦 Ukraine","About Nutrient
Nutrient delivers the building blocks to accelerate digital transformation for modern businesses. Nutrient's SDKs, cloud-based document processing, low-code solutions for M365, and workflow automation platform transform document ecosystems. The company powers thousands of organizations worldwide, including more than 15 percent of Global 500 brands, thousands of commercial businesses across 80 nations, and more than 130 public sector organizations in 24 countries. Backed by Insight Partners and based in Raleigh, N.C., Nutrient operates offices in the US, England, France, and Austria, with employees distributed throughout the world. Nutrient is on a mission to evolve the human experience with documents, and its products are the integration of industry-leading document and workflow automation technology from PSPDFKit, ORPALIS, Aquaforest, Muhimbi, and Integrify. To learn more, visit www.nutrient.io.","Who We Are…

At Nutrient, we equip developers and innovators with cutting-edge tools to simplify workflows and accelerate impactful software creation. We’re on a mission to redefine how documents are created, shared, and experienced. Our software development kits enable companies to work smarter and faster, saving time and expenses along the way, while effectively replacing the need for paper processes.

Your Role at Nutrient…

The team you will be joining is responsible for the Nutrient Web SDK. Take a look at its API docs to get an understanding of the scope involved: It is a toolbox for web engineers and application developers who need a painless way to render, edit and process documents. It either runs client-side using WebAssembly or connects to the Nutrient Document Engine.

This means that our SDK has to work for diverse use cases we constantly keep learning about from our customers. It needs to be convenient to use and easy to integrate; well architected, tested and documented; and loved by LLMs.

Your day to day work ranges (depending on your personal preferences and the current priorities) from writing code and documentation to talking directly with customers in order to understand their use cases and devise solutions for them, which you will incorporate into the evolving architecture of the product.

If you think you have the aptitude to contribute to building this product we would like to hear from you. You'll have autonomy, learn a lot and will shape the future of this product.

What You’ll Bring…

Strong General Programming Skills: You're well versed in OOP & FP, data structures & algorithms and understand that even a client-side SDK forms part of a larger distributed system. You’re driven by a curiosity to understand how things work.
Passion for Building in the B2D Space:  You don't write code for the sake of it, but to provide value to our customers by getting the user/developer experience right
Collaborative and Self-Managing: You don't need hand-holding, and you're gaining energy from exchanging ideas, both async and sync.
Bias towards Shipping: You move fast and take ownership for solving problems from start to finish.

What We'll Bring…

We are a globally distributed company, backed by Insight Partners. We embrace a low-meeting culture and prioritize asynchronous communication to provide flexibility and focus. Working hours overlap with most of the team across the US, Europe, and Asia.

We offer competitive salaries, comprehensive benefits, and an annual global retreat to celebrate achievements and foster connections. Past retreats have taken place in locations like Croatia, Spain, and Greece. 

Nutrient believes in equal opportunity, we employ people from many different cultures and countries. We celebrate diversity and are committed to building a team that represents a variety of backgrounds, skill sets, perspectives, as well as providing our employees with a work environment free of harassment. We do not discriminate on the basis of race, color, religion, age, marital status, national origin, ancestry, physical or mental disability, medical condition, sexual orientation, gender identity or expression, or any other non-merit factor. 

We are a remote company. To ensure overlap with most of the team across the US, Europe and Asia, we’re looking for someone who will have a significant overlap with US and European working hours.  If working from the US, you must be located in Florida, Indiana, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Texas, or Virginia for payroll processing.",https://weworkremotely.com/remote-jobs/nutrient-senior-typescript-sdk-engineer,See Job Description,https://weworkremotely.com/company/nutrient,https://we-work-remotely.imgix.net/logos/0167/0040/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,4
PHP and React Developer,OnTheGoSystems,100% remote,Posted 1 day ago,"Nov 26th, 2025",Full-Time,Full-Stack Programming,Anywhere in the World,N/A,"Featured, Top 100, Full-Time, Anywhere in the World","OnTheGoSystems builds tools for the localization industry. Our products allow developers to build multilingual websites and business owners reach a global audience.
 
We're the market leader inside the WordPress ecosystem and we're building now a new SaaS product that will make software translation a no-brainer.

Over 250,000 clients have trusted us and our software powers over 1 million websites.


OnTheGoSystems is always looking for exceptional people to join the team. To learn more about our products and open positions, visit our company website.","OntheGoSystems is looking for senior developers to build products that over 250,000 happy clients use every day. We write PHP and React code and fully cover it by automated tests. We pay close attention to design, usability, performance and security. If this sounds like yourself, we want to meet.

What strong skills we’re looking for in our developers

Strong skills in PHP, React, Redux
Expertise in databases,
Proficiency in writing and applying automated tests with PHPUnit,
Experience in writing end-to-end tests,
Proficiency in version control with Git,
A strong foundation in design patterns, and networking.

What you will do

Build and maintain key features for WPML, ensuring they are reliable and perform well.
Work with other teams to design and develop new features and improvements.
Solve technical problems and make sure the code is clean, efficient, and scalable.
Take charge of your projects from start to finish, managing your time and priorities effectively.
Help improve our development process and suggest ways to make things more efficient.

Our expectations

Code Quality: Write clean, well-documented code that meets company standards.
Test Coverage: Ensure the code is covered by automated tests.
Meaningful Logs: Provide clear, insightful logs to track system performance.
Continuous Improvement: Learn new skills, improve processes, and contribute to team growth.

What we offer

100% remote position,
Body And Mind Movement (BAMM) program to support your physical activities and other hobbies,
A computer budget to make your workplace better,
A Kindle device with an access to our company Amazon account,
We respect national holidays in each country and want you to have a rest on those days,
Being a part of a team of smart, self-driven individuals,
Great opportunity to progress and advance,
Collaborating with team members across the globe.

If it sounds interesting to you, apply today and we are looking forward to getting to know you better!",https://weworkremotely.com/remote-jobs/onthegosystems-php-and-react-developer,See Job Description,https://weworkremotely.com/company/onthegosystems,https://we-work-remotely.imgix.net/logos/0076/2990/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,149
Software engineer,Sticker Mule,"New York, NY",Posted 2 days ago,"Nov 25th, 2025",Full-Time,Full-Stack Programming,Anywhere in the World,$200,"Featured, Top 100, Full-Time, $100,000 or more USD, Anywhere in the World","Sticker Mule is the Internet’s best printing company.

We support thousands of customers by hiring the best people in the world. Our team works from 17 countries in 4 continents and is united by a desire to do great work while maintaining a stress-free work environment that’s designed to attract like-minded people who enjoy our culture.","About Sticker Mule

Sticker Mule, the Internet's favorite custom printer, is building the Internet's best commerce platform. We are privately-owned, which means no meddlesome investors, with 9-figures in annual revenue and great profitability. Our commerce platform (Stores) helped people earn $200k while in beta and now we are hiring to accelerate development.

 

We offer

Remote work with flexible schedules

A privately owned, low-stress culture

A fun ""no bullshit"" work environment

Great compensation with rising wages.

 

Compensation and benefits

Salary: $145K 

$20,000 signing bonus

4 weeks vacation + holidays based on your country of residence

 

We like you to know

Go

TypeScript

React Native (Expo) 

GraphQL

Postgres

Redis

Docker

Kubernetes

Google Cloud Platform

Excellent communication skills (English)

Degree in Computer Science or equivalent practical experience

 

What you will work on

You'll help us develop our new Stores platform that already helped sellers earn nearly $200,000 while in beta. Stores is supported by a suite of tools that help anyone succeed online including Give (our giveaway platform), Ship (our shipping platform, Notify (our forthcoming email/sms marketing platform), and more coming soon.

 

We have an incredible roadmap and need your help to execute it quickly.",https://weworkremotely.com/remote-jobs/sticker-mule-software-engineer-1,See Job Description,https://weworkremotely.com/company/sticker-mule,https://we-work-remotely.imgix.net/logos/0018/9370/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,85
[Electronic Music] Senior Full Stack Software Engineer,Proton,USA,Posted 3 days ago,"Nov 24th, 2025",Full-Time,Full-Stack Programming,N/A,N/A,"Featured, Full-Time, 🇦🇬 Antigua and Barbuda, 🇦🇷 Argentina, 🇧🇴 Bolivia (Plurinational State of), 🇧🇷 Brazil, 🇧🇸 Bahamas, 🇧🇿 Belize, 🇨🇱 Chile, 🇨🇴 Colombia, 🇨🇷 Costa Rica, 🇨🇺 Cuba, 🇩🇴 Dominican Republic, 🇪🇨 Ecuador, 🇬🇩 Grenada, 🇬🇫 French Guiana, 🇬🇹 Guatemala, 🇬🇾 Guyana, 🇭🇳 Honduras, 🇭🇹 Haiti, 🇯🇲 Jamaica, 🇰🇳 Saint Kitts and Nevis, 🇱🇨 Saint Lucia, 🇲🇽 Mexico, 🇳🇮 Nicaragua, 🇵🇦 Panama, 🇵🇪 Peru, 🇵🇾 Paraguay, 🇸🇷 Suriname, 🇸🇻 El Salvador, 🇹🇹 Trinidad and Tobago, 🇺🇾 Uruguay, 🇻🇨 Saint Vincent and the Grenadines, 🇻🇪 Venezuela (Bolivarian Republic of)","Proton (established in 2001) is a fully independent and bootstrapped company that builds software & services powering over 4000 electronic music labels.  Our core business is digital music distribution: helping clients deliver their catalog to DJ stores like Beatport and streaming platforms like Spotify, while also helping them monetize on social media networks like YouTube & Facebook.  We're also the #1 provider of DJ Mixes to Spotify & Apple Music!

Our Mission & Vision
Since we started in 2000, Proton’s mission has always been to lead the electronic music industry forward. As a distributor, we look for ways to help our music labels save time, increase earnings, and grow in a reliable & innovative way.  Running a digital electronic music label is a lot of work, but Proton makes it easier, sustainable, and a lot more fun.  Learn more about our product here.


The crew that runs Proton also run their own record labels, produce their own tracks, and many of them are DJs too. We're passionate about music and have built Proton to help solve problems that we face every day as music makers and lovers ourselves.","We’re looking for a Senior Full-Stack Engineer with strong back-end expertise to help modernize and maintain critical systems—especially those that aren’t always glamorous (like legacy codebases)—but are essential to the heartbeat of our platform. This is not a management role. We want a dependable, experienced developer excited to improve stability, scalability, and maintainability.

You’ll work closely with our fully remote team to support systems written in Ruby on Rails and PHP/Laravel, with some involvement in React/Next.js/TypeScript front-ends. We’re especially interested in engineers who enjoy getting their hands dirty, take pride in quality, and can work independently with minimal direction.

Why Join Proton

Remote-first culture with flexible hours.

Collaborative, respectful team with a passion for music and code.

Opportunities to grow across technologies and systems.

Competitive compensation and meaningful work supporting independent artists.

Proton is a values driven organization, meaning we aim to align the actions we take with shared ideals. Each team at Proton has its own value system; you can check the engineering team's here.
What You’ll Do

Maintain, refactor, and improve existing systems—including a legacy PHP app with raw SQL.

Contribute to modernizing that app in Laravel, Rails, and GraphQL.

Support our Rails platform with clean, scalable code.

Collaborate with front-end engineers on React/Next.js projects when needed.

Be able to write performant SQL queries for use-cases when the ORM is not performant enough.

Assist in API work, including migrating from REST to GraphQL.

Work across cloud platforms (GCP, Netlify), Docker, and CI/CD pipelines.

Follow Shape Up methodology to deliver focused, high-impact work.

What We’re Looking For

5+ years of back-end or full-stack development experience.

Extensive experience with a modern web application framework (e.g., Ruby on Rails, PHP/Laravel, Django, Spring, .NET, etc.).

Familiarity with Ruby on Rails or PHP/Laravel is a plus — or enthusiasm to quickly learn them if not already experienced.

Strong SQL skills—confident writing queries without an ORM.

Familiarity with React, Next.js, and TypeScript.

Comfortable working in a remote, async-first team with excellent communication skills.

Experience with Git/GitHub, Docker, and cloud infrastructure.

Self-driven, accountable, and eager to learn.

Nice to Haves

Experience with Laravel migrations or legacy-to-modernization projects.

Familiarity with the Shape Up process or similar agile methods.

Awareness of web security fundamentals.",https://weworkremotely.com/remote-jobs/proton-electronic-music-senior-full-stack-software-engineer,See Job Description,https://weworkremotely.com/company/proton,https://we-work-remotely.imgix.net/logos/0018/9768/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,9
Full Stack Developer - YouTube Education Platform,Million View Club,Amsterdam,Posted 10 days ago,"Nov 17th, 2025",Full-Time,Full-Stack Programming,Anywhere in the World,N/A,"Featured, Full-Time, Anywhere in the World","The Million View Club (MVC) is the premier education and community platform for YouTube creators and their teams, co-founded with Mario Joos (ex-MrBeast Retention Director). We deliver elite curriculum, live workshops, and tools that help creators consistently grow their channels and build scalable media businesses.","About Million View Club

The Million View Club (MVC) is the premier education and community platform for YouTube creators and their teams, co-founded with Mario Joos (ex-MrBeast Retention Director). We deliver elite curriculum, live workshops, and tools that help creators consistently grow their channels and build scalable media businesses.

The Role

We’re seeking an experienced Full Stack Developer to take ownership of the MVC web platform. As we expand access to a broader creator audience, this role is critical in preserving our design-driven brand identity while enabling scalable growth.

You’ll work with a world-class team that has built and scaled VC-backed education products, running continuous experiments around onboarding, pricing, and growth. This role requires equal parts design sensibility, analytical rigor, and execution speed — building beautiful interfaces while testing and iterating quickly to remove friction and drive conversions.

Tech Stack

Frontend: Next.js 14 (App Router), TypeScript/JavaScript, Tailwind CSS, React Context API, TanStack Query, Mux Player

Backend & Infra: Supabase (Postgres with RLS), Stripe (subscriptions, trials, webhooks), Storyblok CMS, Zapier, Vercel

Design: Custom components, complex hover states, animations, Schibsted Grotesk & Neue Haas Grotesk



What You’ll Work On

Immediate priorities:

Refine UI/UX for a smoother onboarding experience

Optimize performance (Core Web Vitals, video playback, responsiveness)

Run growth experiments (trial conversions, onboarding flows, pricing tests)

Enhance mobile experience and accessibility



Ongoing responsibilities:

Ship pixel-perfect UI with sophisticated interactions

Maintain subscription flows and database policies

Continuously test and iterate on onboarding and pricing models

Collaborate with product, design, and growth to identify and eliminate friction



Who You Are

5+ years full-stack experience (React, Next.js expertise required) 

Strong design eye — comfortable implementing complex, non-standard layouts

Experienced in growth engineering, CRO, or A/B testing frameworks

Proficient with TypeScript, Tailwind, Stripe, PostgreSQL

Obsessed with speed, performance, and reducing user friction

Bonus if you have: Supabase, Storyblok, Mux, or educational platform experience

Why This Role is Unique

This isn’t a typical CRUD app or agency build. MVC is a platform where design craft meets growth engineering:

You’ll run rapid experiments with real impact on thousands of creators

You’ll help simplify complex education content for mainstream audiences

Every feature you ship will directly reduce drop-offs and improve conversions



Application
Please include:

Portfolio of design-heavy web apps you’ve built

Examples of complex UI/animations

Experience with subscription-based platforms

Your availability and preferred working arrangement



Compensation: Competitive, based on experience.
Location: Remote-friendly with flexible hours.",https://weworkremotely.com/remote-jobs/million-view-club-full-stack-developer-youtube-education-platform,See Job Description,https://weworkremotely.com/company/million-view-club,https://we-work-remotely.imgix.net/logos/0171/1802/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,1
Android Developer,Toptal,Remote,Posted 20 days ago,"Nov 7th, 2025",Full-Time,Full-Stack Programming,Anywhere in the World,N/A,"Featured, Top 100, Full-Time, $100,000 or more USD, Anywhere in the World","Toptal is an exclusive network of the top freelance software developers, designers, finance experts, product managers, and project managers in the world. Top companies hire Toptal freelancers for their most important projects.
 
Design your lifestyle as a top freelance developer, with the freedom to work however, wherever, on your terms.","Description

We connect nearly a Billion people around the world, bringing them closer to what they love—from finance and sports to mail, shopping, gaming and news—with the trusted products, content, and tech that fuel their day.

We continue to be one of the largest and most recognizable email services in the world. Delivering over 4.5B emails daily, and with consistently top-rated mobile apps. Our Mail is a critical pillar in the company’s long-term growth strategy.

About the Role:

We are looking for skilled Android developers to join our team and work on cutting-edge features to modernize our calendar and mail platform.

Requirements
3+ years of experience in Android development.
Strong Kotlin and Android development background, including Jetpack Compose
Experience with Android SDK and Android Studio.
Familiarity with RESTful APIs and JSON.
Experience with version control tools, such as Git.
Good understanding of mobile application architecture and design patterns.
Ability to work collaboratively in a team environment.
Strong problem-solving skills and attention to detail.

Preferred Qualifications:

Experience with third-party libraries and APIs.
Familiarity with CI/CD processes.
Experience with Kotlin Multiplatform is a plus.

Highlights

- Long term (12+ months ) and full-time opportunity

- Overlap: 5+ hours with PST",https://weworkremotely.com/remote-jobs/toptal-android-developer-1,See Job Description,https://weworkremotely.com/company/toptal,https://we-work-remotely.imgix.net/logos/0018/5829/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,99
Lead Mobile Developer/ Tech Lead,Toptal,Remote,Posted 20 days ago,"Nov 7th, 2025",Full-Time,Full-Stack Programming,Anywhere in the World,N/A,"Featured, Top 100, Full-Time, $100,000 or more USD, Anywhere in the World","Toptal is an exclusive network of the top freelance software developers, designers, finance experts, product managers, and project managers in the world. Top companies hire Toptal freelancers for their most important projects.
 
Design your lifestyle as a top freelance developer, with the freedom to work however, wherever, on your terms.","Job Description

Our client is a global media and tech company that connects people to their passions. We reach nearly 900M people around the world, bringing them closer to what they love—from finance and sports to shopping, gaming and news—with the trusted products, content, and tech that fuel their day.

About the Role:

We’re seeking a seasoned Lead Mobile Developer/ Tech Lead with experience to guide mobile development efforts across both Android and iOS platforms. This role combines strong technical expertise with leadership skills to deliver high-quality, performant mobile applications and coordinate effectively with cross-functional teams.

Responsibilities:
Lead mobile development initiatives for Android and iOS platforms.
Collaborate with other teams to define features, plan implementations, and ensure project alignment.
Architect and oversee bespoke feature implementations, ensuring maintainability and scalability.
Ensure structured communication across engineering and product teams.
Guide the team in technical decision-making and problem-solving.
Oversee feature delivery, from planning to release, ensuring high performance and code quality.
Requirements
8–10 years of professional mobile development experience in Android and iOS
Strong Kotlin and Android development background, including Jetpack Compose
Proficiency in iOS development (Swift)
Familiarity with state management patterns (Flux or similar).
Experience in performance optimization for mobile applications.
Strong background in mobile app performance optimization.
Excellent problem-solving and communication skills.

Nice to have:

Experience with cross-platform architectural decision-making.
Prior leadership in a multi-platform mobile team.
Engagement Highlights:

- Long term (12+ months ) and full-time opportunity

- Commitment: We prefer full-time (40 hr/week) but open to considering part-time who can ramp up to full-time in 3-4weeks.

- Overlap: 5+ hours with PST",https://weworkremotely.com/remote-jobs/toptal-lead-mobile-developer-tech-lead,See Job Description,https://weworkremotely.com/company/toptal,https://we-work-remotely.imgix.net/logos/0018/5829/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,99
Full Stack Engineer - AI,Toptal,Remote,Posted 20 days ago,"Nov 7th, 2025",Full-Time,Full-Stack Programming,Anywhere in the World,N/A,"Featured, Top 100, Full-Time, $100,000 or more USD, Anywhere in the World","Toptal is an exclusive network of the top freelance software developers, designers, finance experts, product managers, and project managers in the world. Top companies hire Toptal freelancers for their most important projects.
 
Design your lifestyle as a top freelance developer, with the freedom to work however, wherever, on your terms.","Description

The client is building an elite AI engineering team in New York City to develop and scale breakthrough AI-powered products that will impact millions of users. The environment is designed like a cutting-edge AI lab, combining innovation with the distribution power of their broader ecosystem. The team consists of highly talented AI engineers, Full-stack Engineers, product managers, and designers focused on pushing the boundaries of what AI can deliver to end users.

General information
They are seeking exceptional engineers who have shipped AI features that users actively use in production. The ideal developer is full-stack capable, thrives in fast-paced, highly collaborative environments, and is passionate about creating seamless user experiences powered by AI.

Task and Deliverables

Build and ship user-facing AI features across multiple products, including content creation tools, e-commerce recommendations, and messaging experiences.
Rapidly prototype and iterate AI-powered solutions, evolving them into production-ready systems.
Collaborate closely with product managers, designers, and fellow engineers to design, implement, and scale innovative features.
Stay ahead of AI advancements and leverage them to unlock new user experiences.
Contribute to the technical vision and strategy for scaling AI products across the ecosystem.
Requirements
Proven track record of shipping AI features into production with real user adoption.
Hands-on experience with large language models (LLMs), whether via APIs or custom implementations, at scale.
Strong full-stack development skills (PHP, Python, or JavaScript).
Ability to build performant AI-powered user interfaces.

Nice to have

Experience developing consumer AI products that scaled to large user bases.
Strong PHP experience
Familiarity with WordPress, e-commerce platforms, or messaging systems.
Open-source contributions that showcase technical depth and innovative thinking.
Benefits
Join a carefully selected team of some of the most talented minds in AI and product development.
Open to on-site and Remote candidates
Ship products that will directly impact millions of users across a diverse ecosystem.
Opportunity to be part of an elite AI lab with the scale and reach of a global platform
Long-term, Full-time position",https://weworkremotely.com/remote-jobs/toptal-full-stack-engineer-ai,See Job Description,https://weworkremotely.com/company/toptal,https://we-work-remotely.imgix.net/logos/0018/5829/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,99
